LEDGER t=6405553 tip=6405472, quorum=0.5
PARTICIPATION epoch=200172, participation=0.9819621801371271
LEDGER t=6405584 tip=6405504, quorum=0.5
PARTICIPATION epoch=200173, participation=0.9997022100270138
LEDGER t=6405617 tip=6405536, quorum=0.5
PARTICIPATION epoch=200174, participation=1
LEDGER t=6405649 tip=6405568, quorum=0.5
PARTICIPATION epoch=200175, participation=0.9997890714179364
LEDGER t=6405681 tip=6405600, quorum=0.5
PARTICIPATION epoch=200176, participation=0.9997997093126307
LEDGER t=6405713 tip=6405632, quorum=0.5
PARTICIPATION epoch=200177, participation=0.9846363268981262
LEDGER t=6405745 tip=6405664, quorum=0.5
PARTICIPATION epoch=200178, participation=0.9985217902998249
LEDGER t=6405777 tip=6405696, quorum=0.5
PARTICIPATION epoch=200179, participation=0.9985483973881788
LEDGER t=6405809 tip=6405728, quorum=0.5
PARTICIPATION epoch=200180, participation=0.9993087704621667
LEDGER t=6405841 tip=6405760, quorum=0.5
PARTICIPATION epoch=200181, participation=0.9998263088866045
LEDGER t=6405873 tip=6405792, quorum=0.5
PARTICIPATION epoch=200182, participation=0.9983605918174923
LEDGER t=6405905 tip=6405824, quorum=0.5
PARTICIPATION epoch=200183, participation=0.9971199994328614
LEDGER t=6405937 tip=6405856, quorum=0.5
PARTICIPATION epoch=200184, participation=0.9993974238095575
LEDGER t=6405969 tip=6405888, quorum=0.5
PARTICIPATION epoch=200185, participation=0.9998972090484394
LEDGER t=6406001 tip=6405920, quorum=0.5
PARTICIPATION epoch=200186, participation=0.9994771867329487
LEDGER t=6406033 tip=6405952, quorum=0.5
PARTICIPATION epoch=200187, participation=0.9850247136530306
LEDGER t=6406065 tip=6405984, quorum=0.5
PARTICIPATION epoch=200188, participation=0.9996154330100253
LEDGER t=6406097 tip=6406016, quorum=0.5
PARTICIPATION epoch=200189, participation=0.9954455073563031
LEDGER t=6406129 tip=6406048, quorum=0.5
PARTICIPATION epoch=200190, participation=0.9992043027902567
LEDGER t=6406161 tip=6406080, quorum=0.5
PARTICIPATION epoch=200191, participation=0.9998121543240834
LEDGER t=6406193 tip=6406112, quorum=0.5
PARTICIPATION epoch=200192, participation=0.9988445882605206
LEDGER t=6406225 tip=6406144, quorum=0.5
PARTICIPATION epoch=200193, participation=0.9991564875147747
LEDGER t=6406257 tip=6406176, quorum=0.5
PARTICIPATION epoch=200194, participation=0.9969715495778068
LEDGER t=6406289 tip=6406207, quorum=0.5
PARTICIPATION epoch=200195, participation=0.997022981519449
LEDGER t=6406321 tip=6406240, quorum=0.5
PARTICIPATION epoch=200196, participation=0.9997253384981509
LEDGER t=6406353 tip=6406272, quorum=0.5
PARTICIPATION epoch=200197, participation=0.9997519221602619
LEDGER t=6406385 tip=6406304, quorum=0.5
PARTICIPATION epoch=200198, participation=0.9994347449352969
LEDGER t=6406417 tip=6406336, quorum=0.5
PARTICIPATION epoch=200199, participation=0.9943298101372363
LEDGER t=6406449 tip=6406368, quorum=0.5
PARTICIPATION epoch=200200, participation=0.9995074092383802
LEDGER t=6406481 tip=6406400, quorum=0.5
PARTICIPATION epoch=200201, participation=0.9949696032205879
LEDGER t=6406513 tip=6406432, quorum=0.5
PARTICIPATION epoch=200202, participation=1
LEDGER t=6406544 tip=6406464, quorum=0.5
PARTICIPATION epoch=200203, participation=1
LEDGER t=6406576 tip=6406496, quorum=0.5
PARTICIPATION epoch=200204, participation=1
LEDGER t=6406609 tip=6406528, quorum=0.5
PARTICIPATION epoch=200205, participation=1
LEDGER t=6406641 tip=6406560, quorum=0.5
PARTICIPATION epoch=200206, participation=0.9999964564641182
LEDGER t=6406673 tip=6406592, quorum=0.5
PARTICIPATION epoch=200207, participation=0.9993869769815171
LEDGER t=6406705 tip=6406624, quorum=0.5
PARTICIPATION epoch=200208, participation=1
LEDGER t=6406736 tip=6406656, quorum=0.5
PARTICIPATION epoch=200209, participation=0.9971564333701846
LEDGER t=6406768 tip=6406688, quorum=0.5
PARTICIPATION epoch=200210, participation=1
LEDGER t=6406801 tip=6406720, quorum=0.5
PARTICIPATION epoch=200211, participation=0.9994950819207438
LEDGER t=6406832 tip=6406752, quorum=0.5
PARTICIPATION epoch=200212, participation=0.9866969023217086
