LEDGER t=6399838 tip=6399744, quorum=0.9
LEDGER t=6399839 tip=6399744, quorum=0.95
LEDGER t=6399840 tip=6399744, quorum=0.96
LEDGER t=6399840 tip=6399744, quorum=0.97
LEDGER t=6399840 tip=6399744, quorum=0.98
LEDGER t=6399862 tip=6399776, quorum=0.67
LEDGER t=6399866 tip=6399776, quorum=0.8
LEDGER t=6399869 tip=6399776, quorum=0.9
LEDGER t=6399871 tip=6399776, quorum=0.95
LEDGER t=6399871 tip=6399776, quorum=0.96
LEDGER t=6399872 tip=6399776, quorum=0.97
LEDGER t=6399872 tip=6399776, quorum=0.98
LEDGER t=6399872 tip=6399776, quorum=0.99
LEDGER t=6399894 tip=6399808, quorum=0.67
LEDGER t=6399898 tip=6399808, quorum=0.8
LEDGER t=6399901 tip=6399808, quorum=0.9
LEDGER t=6399903 tip=6399808, quorum=0.95
LEDGER t=6399903 tip=6399808, quorum=0.96
LEDGER t=6399904 tip=6399808, quorum=0.97
LEDGER t=6399904 tip=6399808, quorum=0.98
LEDGER t=6399904 tip=6399808, quorum=0.99
LEDGER t=6399926 tip=6399840, quorum=0.67
LEDGER t=6399930 tip=6399840, quorum=0.8
LEDGER t=6399934 tip=6399840, quorum=0.9
LEDGER t=6399935 tip=6399840, quorum=0.95
LEDGER t=6399936 tip=6399840, quorum=0.96
LEDGER t=6399936 tip=6399840, quorum=0.97
LEDGER t=6399936 tip=6399840, quorum=0.98
LEDGER t=6399958 tip=6399872, quorum=0.67
LEDGER t=6399962 tip=6399872, quorum=0.8
LEDGER t=6399965 tip=6399872, quorum=0.9
LEDGER t=6399967 tip=6399872, quorum=0.95
LEDGER t=6399967 tip=6399872, quorum=0.96
LEDGER t=6399968 tip=6399872, quorum=0.97
LEDGER t=6399968 tip=6399872, quorum=0.98
LEDGER t=6399968 tip=6399872, quorum=0.99
LEDGER t=6399990 tip=6399904, quorum=0.67
LEDGER t=6399994 tip=6399904, quorum=0.8
LEDGER t=6399997 tip=6399904, quorum=0.9
LEDGER t=6399999 tip=6399904, quorum=0.95
LEDGER t=6399999 tip=6399904, quorum=0.96
LEDGER t=6400000 tip=6399904, quorum=0.97
LEDGER t=6400000 tip=6399904, quorum=0.98
LEDGER t=6400000 tip=6399904, quorum=0.99
LEDGER t=6400022 tip=6399936, quorum=0.67
